ID,Subject,Total,proba_echec
204104,اللغة العربية,0.0,0.9999696
204076,اللغة العربية,0.0,0.9999696
206120,ميكانيك هندسي,0.0,0.9999696
205181,الكيمياء الصناعية,28.0,0.94839716
206051,ميكانيك هندسي,0.0,0.9999696
205087,الكيمياء الصناعية,18.0,0.94839716
206132,ميكانيك هندسي,0.0,0.9999696
206018,اللغة العربية,0.0,0.9999696
202250,رياضيات 1,0.0,0.9999696
202070,رياضيات 1,0.0,0.9999696
202196,رياضيات 1,0.0,0.9999696
202099,رياضيات 1,0.0,0.9999696
202247,رياضيات 1,0.0,0.9999696
202166,رياضيات 1,0.0,0.9999696
202037,رياضيات 1,0.0,0.9999696
202081,رياضيات 1,0.0,0.9999696
202089,رياضيات 1,0.0,0.9999696
202162,مبادئ الهندسة الكهربائية,0.0,0.9999696
202252,رياضيات 1,0.0,0.9999696
202261,رياضيات 1,0.0,0.9999696
202164,رياضيات 1,0.0,0.9999696
205195,الكيمياء الصناعية,8.0,0.9999696
202225,رياضيات 1,0.0,0.9999696
202001,رياضيات 1,0.0,0.9999696
202249,رياضيات 1,0.0,0.9999696
3090,الكيمياء الصناعية,16.0,0.9561601
202149,مبادئ الهندسة الكهربائية,0.0,0.9999696
202104,رياضيات 1,0.0,0.9999696
202253,رياضيات 1,0.0,0.9999696
3056,الكيمياء الصناعية,14.0,0.9609709
202254,مبادئ الهندسة الكهربائية,0.0,0.9999696
2301,رياضيات 2,0.0,0.9999696
205069,الكيمياء الصناعية,7.0,0.9999696
202223,رياضيات 1,0.0,0.9999696
205199,الكيمياء الصناعية,8.0,0.9999696
205121,الكيمياء الصناعية,9.0,0.9999696
202259,رياضيات 1,0.0,0.9999696
202044,رياضيات 1,0.0,0.9999696
202205,رياضيات 1,0.0,0.9999696
202077,رياضيات 1,0.0,0.9999696
202202,رياضيات 1,0.0,0.9999696
202231,رياضيات 1,0.0,0.9999696
202121,رياضيات 1,0.0,0.9999696
202050,رياضيات 1,0.0,0.9999696
202097,رياضيات 1,0.0,0.9999696
202218,رياضيات 1,0.0,0.9999696
202039,رياضيات 1,0.0,0.9999696
202083,رياضيات 1,0.0,0.9999696
202056,رياضيات 1,0.0,0.9999696
202189,رياضيات 1,0.0,0.9999696
202007,رياضيات 1,0.0,0.9999696
202108,رياضيات 1,0.0,0.9999696
202059,رياضيات 1,0.0,0.9999696
202243,رياضيات 1,0.0,0.9999696
202057,رياضيات 1,0.0,0.9999696
202258,رياضيات 1,0.0,0.9999696
206137,ميكانيك هندسي,13.0,0.9615743
206145,ميكانيك هندسي,8.0,0.9999696
206115,ميكانيك هندسي,9.0,0.9999696
202018,رياضيات 1,0.0,0.9999696
202120,رياضيات 1,0.0,0.9999696
202091,رياضيات 1,0.0,0.9999696
202240,رياضيات 1,0.0,0.9999696
202137,رياضيات 1,0.0,0.9999696
202153,رياضيات 1,0.0,0.9999696
192074,مبادئ الهندسة الكهربائية,0.0,0.9999696
192139,مبادئ الهندسة الكهربائية,0.0,0.9999696
2316,ميكانيك هندسي,0.0,0.9999696
206120,اللغة العربية,0.0,0.9999696
201272,الكيمياء الصناعية,0.0,0.9999696
201066,الكيمياء الصناعية,0.0,0.9999696
201217,الكيمياء الصناعية,0.0,0.9999696
201287,الكيمياء الصناعية,0.0,0.9999696
201141,الكيمياء الصناعية,0.0,0.9999696
191155,مبادئ الهندسة الكهربائية,23.0,0.9612366
201264,الكيمياء الصناعية,0.0,0.9999696
201286,الكيمياء الصناعية,0.0,0.9999696
201279,الكيمياء الصناعية,0.0,0.9999696
201117,الكيمياء الصناعية,0.0,0.9999696
